,Metric,Requests,Rides,Fare,NewDriver,OnlineDrivers,AvgDistance/Ride(km),AvgDuration/Ride(min),Rides/Requests,Online/Total
0,Mean,4081.0,2078.0,15666,32.0,311.0,9.0,65.0,0.5211503788444943,0.7320321881445728
1,Median,3966.0,2037.0,13737,31.0,262.0,9.0,68.0,0.5028202074595696,0.7503709198813057
2,Variance,276931.21428571426,32503.428571428572,27263997,180.5,17108.5,3.642857142857143,619.8571428571429,0.010530260531260152,0.018060219083415978
3,StandardDeviation,526.2425432115065,180.28707266864302,5221,13.435028842544403,130.79946483070947,1.9086270308410553,24.896930390253793,0.10261705770124259,0.13438831453447125
4,Max14Days,4999.0,2537.0,25843,60.0,595.0,12.0,95.0,0.7810960591133005,0.9713114754098361
5,Min14Days,3248.0,1784.0,8970,10.0,170.0,6.0,21.0,0.356871374274855,0.55078125
